team,r_3pt_radius,court_width,baseline_width,hoop_to_baseline,corner3_distance,corner3_availability,arc_length_inbounds,area_inside_arc,area_outside_arc,twopa_per_game,threepa_per_game,corner3_pa,above_break3_pa,rim_attempt_share,midrange_share,free_throw_rate,eppg,epps,efg_expected,threepar,team_rim_rate,team_corner3_rate,off_reb_rate,pace,opp_3par_allowed,opp_rim_fg_allowed,switch_rate,turnover_rate,def_reb_rate
Cavaliers2016,23.25,54.25,54.25,4.0,22,1.0,73.04202919596268,849.1135894030663,1483.6364105969337,54.4,29.6,7.3,22.3,0.292,0.356,0.258,0.0,0.0,0.0,0.362,0.292,0.087,0.208,93.3,0.303,0.604,0.55,0.131,0.782
Cavaliers2016,23.25,54.5,54.5,4.0,22,1.0,73.04202919596268,849.1135894030663,1494.3864105969337,54.4,29.6,7.3,22.3,0.292,0.356,0.258,0.0,0.0,0.0,0.362,0.292,0.087,0.208,93.3,0.303,0.604,0.55,0.131,0.782
Cavaliers2016,23.25,54.75,54.75,4.0,22,1.0,73.04202919596268,849.1135894030663,1505.1364105969337,54.4,29.6,7.3,22.3,0.292,0.356,0.258,0.0,0.0,0.0,0.362,0.292,0.087,0.208,93.3,0.303,0.604,0.55,0.131,0.782
Cavaliers2016,23.25,55.0,55.0,4.0,22,1.0,73.04202919596268,849.1135894030663,1515.8864105969337,54.4,29.6,7.3,22.3,0.292,0.356,0.258,0.0,0.0,0.0,0.362,0.292,0.087,0.208,93.3,0.303,0.604,0.55,0.131,0.782
Cavaliers2016,23.5,50.0,50.0,4.0,22,1.0,73.82742735936014,867.4722714724817,1282.5277285275183,54.4,29.6,7.3,22.3,0.292,0.356,0.258,0.0,0.0,0.0,0.362,0.292,0.087,0.208,93.3,0.303,0.604,0.55,0.131,0.782
Cavaliers2016,23.5,50.25,50.25,4.0,22,1.0,73.82742735936014,867.4722714724817,1293.2777285275183,54.4,29.6,7.3,22.3,0.292,0.356,0.258,0.0,0.0,0.0,0.362,0.292,0.087,0.208,93.3,0.303,0.604,0.55,0.131,0.782
Cavaliers2016,23.5,50.5,50.5,4.0,22,1.0,73.82742735936014,867.4722714724817,1304.0277285275183,54.4,29.6,7.3,22.3,0.292,0.356,0.258,0.0,0.0,0.0,0.362,0.292,0.087,0.208,93.3,0.303,0.604,0.55,0.131,0.782
Cavaliers2016,23.5,50.75,50.75,4.0,22,1.0,73.82742735936014,867.4722714724817,1314.7777285275183,54.4,29.6,7.3,22.3,0.292,0.356,0.258,0.0,0.0,0.0,0.362,0.292,0.087,0.208,93.3,0.303,0.604,0.55,0.131,0.782
Cavaliers2016,23.5,51.0,51.0,4.0,22,1.0,73.82742735936014,867.4722714724817,1325.5277285275183,54.4,29.6,7.3,22.3,0.292,0.356,0.258,0.0,0.0,0.0,0.362,0.292,0.087,0.208,93.3,0.303,0.604,0.55,0.131,0.782
Cavaliers2016,23.5,51.25,51.25,4.0,22,1.0,73.82742735936014,867.4722714724817,1336.2777285275183,54.4,29.6,7.3,22.3,0.292,0.356,0.258,0.0,0.0,0.0,0.362,0.292,0.087,0.208,93.3,0.303,0.604,0.55,0.131,0.782
Cavaliers2016,23.5,51.5,51.5,4.0,22,1.0,73.82742735936014,867.4722714724817,1347.0277285275183,54.4,29.6,7.3,22.3,0.292,0.356,0.258,0.0,0.0,0.0,0.362,0.292,0.087,0.208,93.3,0.303,0.604,0.55,0.131,0.782
Cavaliers2016,23.5,51.75,51.75,4.0,22,1.0,73.82742735936014,867.4722714724817,1357.7777285275183,54.4,29.6,7.3,22.3,0.292,0.356,0.258,0.0,0.0,0.0,0.362,0.292,0.087,0.208,93.3,0.303,0.604,0.55,0.131,0.782
Cavaliers2016,23.5,52.0,52.0,4.0,22,1.0,73.82742735936014,867.4722714724817,1368.5277285275183,54.4,29.6,7.3,22.3,0.292,0.356,0.258,0.0,0.0,0.0,0.362,0.292,0.087,0.208,93.3,0.303,0.604,0.55,0.131,0.782
Cavaliers2016,23.5,52.25,52.25,4.0,22,1.0,73.82742735936014,867.4722714724817,1379.2777285275183,54.4,29.6,7.3,22.3,0.292,0.356,0.258,0.0,0.0,0.0,0.362,0.292,0.087,0.208,93.3,0.303,0.604,0.55,0.131,0.782
Cavaliers2016,23.5,52.5,52.5,4.0,22,1.0,73.82742735936014,867.4722714724817,1390.0277285275183,54.4,29.6,7.3,22.3,0.292,0.356,0.258,0.0,0.0,0.0,0.362,0.292,0.087,0.208,93.3,0.303,0.604,0.55,0.131,0.782
Cavaliers2016,23.5,52.75,52.75,4.0,22,1.0,73.82742735936014,867.4722714724817,1400.7777285275183,54.4,29.6,7.3,22.3,0.292,0.356,0.258,0.0,0.0,0.0,0.362,0.292,0.087,0.208,93.3,0.303,0.604,0.55,0.131,0.782
Cavaliers2016,23.5,53.0,53.0,4.0,22,1.0,73.82742735936014,867.4722714724817,1411.5277285275183,54.4,29.6,7.3,22.3,0.292,0.356,0.258,0.0,0.0,0.0,0.362,0.292,0.087,0.208,93.3,0.303,0.604,0.55,0.131,0.782
Cavaliers2016,23.5,53.25,53.25,4.0,22,1.0,73.82742735936014,867.4722714724817,1422.2777285275183,54.4,29.6,7.3,22.3,0.292,0.356,0.258,0.0,0.0,0.0,0.362,0.292,0.087,0.208,93.3,0.303,0.604,0.55,0.131,0.782
Cavaliers2016,23.5,53.5,53.5,4.0,22,1.0,73.82742735936014,867.4722714724817,1433.0277285275183,54.4,29.6,7.3,22.3,0.292,0.356,0.258,0.0,0.0,0.0,0.362,0.292,0.087,0.208,93.3,0.303,0.604,0.55,0.131,0.782
Cavaliers2016,23.5,53.75,53.75,4.0,22,1.0,73.82742735936014,867.4722714724817,1443.7777285275183,54.4,29.6,7.3,22.3,0.292,0.356,0.258,0.0,0.0,0.0,0.362,0.292,0.087,0.208,93.3,0.303,0.604,0.55,0.131,0.782
Cavaliers2016,23.5,54.0,54.0,4.0,22,1.0,73.82742735936014,867.4722714724817,1454.5277285275183,54.4,29.6,7.3,22.3,0.292,0.356,0.258,0.0,0.0,0.0,0.362,0.292,0.087,0.208,93.3,0.303,0.604,0.55,0.131,0.782
Cavaliers2016,23.5,54.25,54.25,4.0,22,1.0,73.82742735936014,867.4722714724817,1465.2777285275183,54.4,29.6,7.3,22.3,0.292,0.356,0.258,0.0,0.0,0.0,0.362,0.292,0.087,0.208,93.3,0.303,0.604,0.55,0.131,0.782
Cavaliers2016,23.5,54.5,54.5,4.0,22,1.0,73.82742735936014,867.4722714724817,1476.0277285275183,54.4,29.6,7.3,22.3,0.292,0.356,0.258,0.0,0.0,0.0,0.362,0.292,0.087,0.208,93.3,0.303,0.604,0.55,0.131,0.782
Cavaliers2016,23.5,54.75,54.75,4.0,22,1.0,73.82742735936014,867.4722714724817,1486.7777285275183,54.4,29.6,7.3,22.3,0.292,0.356,0.258,0.0,0.0,0.0,0.362,0.292,0.087,0.208,93.3,0.303,0.604,0.55,0.131,0.782
Cavaliers2016,23.5,55.0,55.0,4.0,22,1.0,73.82742735936014,867.4722714724817,1497.5277285275183,54.4,29.6,7.3,22.3,0.292,0.356,0.258,0.0,0.0,0.0,0.362,0.292,0.087,0.208,93.3,0.303,0.604,0.55,0.131,0.782
Cavaliers2016,23.75,50.0,50.0,4.0,22,1.0,74.61282552275759,886.0273030827464,1263.9726969172536,54.4,29.6,7.3,22.3,0.292,0.356,0.258,0.0,0.0,0.0,0.362,0.292,0.087,0.208,93.3,0.303,0.604,0.55,0.131,0.782
Cavaliers2016,23.75,50.25,50.25,4.0,22,1.0,74.61282552275759,886.0273030827464,1274.7226969172536,54.4,29.6,7.3,22.3,0.292,0.356,0.258,0.0,0.0,0.0,0.362,0.292,0.087,0.208,93.3,0.303,0.604,0.55,0.131,0.782
Cavaliers2016,23.75,50.5,50.5,4.0,22,1.0,74.61282552275759,886.0273030827464,1285.4726969172536,54.4,29.6,7.3,22.3,0.292,0.356,0.258,0.0,0.0,0.0,0.362,0.292,0.087,0.208,93.3,0.303,0.604,0.55,0.131,0.782
Cavaliers2016,23.75,50.75,50.75,4.0,22,1.0,74.61282552275759,886.0273030827464,1296.2226969172536,54.4,29.6,7.3,22.3,0.292,0.356,0.258,0.0,0.0,0.0,0.362,0.292,0.087,0.208,93.3,0.303,0.604,0.55,0.131,0.782
